Gene,nascentRNA,PCNA,ratio
PIM2,0.2290,0.0543,2.0752
PIM2,0.2275,0.0468,2.2803
PIM2,0.2331,0.0622,1.9057
PIM2,0.1740,0.0897,0.9557
PIM2,0.0250,0.0089,1.4899
PIM2,0.2207,0.0544,2.0201
PIM2,0.2356,0.0714,1.7217
PIM2,0.1750,0.0418,2.0657
PIM2,0.2102,0.0515,2.0303
PIM2,0.2301,0.0996,1.2083
PIM2,0.3061,0.0910,1.7505
PIM2,0.2120,0.0372,2.5099
PIM2,0.1858,0.0602,1.6266
PIM2,0.2192,0.0557,1.9752
PIM2,0.2542,0.0673,1.9171
PIM2,0.2355,0.0631,1.9000
PIM2,0.2223,0.0644,1.7882
PIM2,0.2179,0.0823,1.4040
PIM2,0.2246,0.0688,1.7072
PIM2,0.1919,0.0497,1.9485
PIM2,0.2305,0.0537,2.1017
PIM2,0.2170,0.0534,2.0224
PIM2,0.0152,0.0020,2.9589
PIM2,0.2413,0.0618,1.9659
PIM2,0.2083,0.0544,1.9376
PIM2,0.0320,0.0085,1.9086
PIM2,0.2010,0.0477,2.0748
PIM2,0.1696,0.0535,1.6658
PIM2,0.2121,0.0372,2.5095
PIM2,0.3209,0.0976,1.7179
PIM2,0.2909,0.0712,2.0308
PIM2,0.1811,0.0537,1.7551
PIM2,0.2056,0.0345,2.5775
PIM2,0.1527,0.0463,1.7229
PIM2,0.2990,0.0798,1.9056
PIM2,0.2350,0.0556,2.0792
PIM2,0.3411,0.0760,2.1663
PIM2,0.2669,0.0978,1.4479
PIM2,0.1802,0.0465,1.9556
PIM2,0.1761,0.0768,1.1977
PIM2,0.2778,0.0625,2.1521
PIM2,0.0576,0.0144,2.0052
PIM2,0.1713,0.0465,1.8812
PIM2,0.2038,0.0805,1.3401
PIM2,0.1940,0.0483,2.0073
PIM2,0.1926,0.0487,1.9844
PIM2,0.2223,0.0618,1.8469
PIM2,0.1813,0.0463,1.9699
PIM2,0.3705,0.0895,2.0491
PIM2,0.3670,0.0671,2.4508
PIM2,0.1488,0.0344,2.1120
PIM2,0.1616,0.0456,1.8273
PIM2,0.2823,0.0685,2.0423
PIM2,0.3609,0.0517,2.8034
PIM2,0.2601,0.0774,1.7491
PIM2,0.4630,0.1003,2.2062
PIM2,0.1646,0.0524,1.6520
PIM2,0.2286,0.1025,1.1574
PIM2,0.1813,0.0476,1.9287
PIM2,0.2962,0.0628,2.2379
PIM2,0.2088,0.0562,1.8947
PIM2,0.1693,0.0629,1.4271
PIM2,0.2200,0.0525,2.0669
PIM2,0.1688,0.0637,1.4049
PIM2,0.2648,0.0797,1.7324
PIM2,0.2735,0.0758,1.8503
PIM2,0.3229,0.0632,2.3528
